"YEAR","ELECTION_E","ELECTION_F","PROVINCE_ID","PROVINCE_E","PROVINCE_F","GENDER_E","GENDER_F","AGE_GROUP_ID","AGE_GROUP_E","AGE_GROUP_F","VOTES","ELIGIBLE_ELECTORS","TURNOUT_ELIGIBLE_ELECTOR"
2004,"GE 38, 2004","ÉG 38, 2004",12,"Nova Scotia","Nouvelle-Écosse","All genders","Tous les genres",9,"75 years and over","75 ans et plus",33660,60600,0.5554390282
2004,"GE 38, 2004","ÉG 38, 2004",12,"Nova Scotia","Nouvelle-Écosse","All genders","Tous les genres",10,"All ages","Tous les âges",433047,728736,0.5942440061
2004,"GE 38, 2004","ÉG 38, 2004",13,"New Brunswick","Nouveau-Brunswick","All genders","Tous les genres",1,"First time","1re fois",14370,35403,0.4058955796
2004,"GE 38, 2004","ÉG 38, 2004",13,"New Brunswick","Nouveau-Brunswick","All genders","Tous les genres",2,"Not first time","2e fois ou plus",9909,33197,0.2985027883
2004,"GE 38, 2004","ÉG 38, 2004",13,"New Brunswick","Nouveau-Brunswick","All genders","Tous les genres",3,"18 to 24 years","18 à 24 ans",24279,68600,0.3539259223
2004,"GE 38, 2004","ÉG 38, 2004",13,"New Brunswick","Nouveau-Brunswick","All genders","Tous les genres",4,"25 to 34 years","25 à 34 ans",45351,95871,0.4730371321
2004,"GE 38, 2004","ÉG 38, 2004",13,"New Brunswick","Nouveau-Brunswick","All genders","Tous les genres",5,"35 to 44 years","35 à 44 ans",74407,117578,0.632827298
2004,"GE 38, 2004","ÉG 38, 2004",13,"New Brunswick","Nouveau-Brunswick","All genders","Tous les genres",6,"45 to 54 years","45 à 54 ans",84095,121020,0.6948839033
2004,"GE 38, 2004","ÉG 38, 2004",13,"New Brunswick","Nouveau-Brunswick","All genders","Tous les genres",7,"55 to 64 years","55 à 64 ans",69104,85632,0.8069853488
2004,"GE 38, 2004","ÉG 38, 2004",13,"New Brunswick","Nouveau-Brunswick","All genders","Tous les genres",8,"65 to 74 years","65 à 74 ans",44635,52876,0.8441423449
2004,"GE 38, 2004","ÉG 38, 2004",13,"New Brunswick","Nouveau-Brunswick","All genders","Tous les genres",9,"75 years and over","75 ans et plus",31091,49305,0.6305867723
2004,"GE 38, 2004","ÉG 38, 2004",13,"New Brunswick","Nouveau-Brunswick","All genders","Tous les genres",10,"All ages","Tous les âges",372961,590882,0.631193707
2004,"GE 38, 2004","ÉG 38, 2004",24,"Quebec","Québec","All genders","Tous les genres",1,"First time","1re fois",149651,309446,0.4836098782
2004,"GE 38, 2004","ÉG 38, 2004",24,"Quebec","Québec","All genders","Tous les genres",2,"Not first time","2e fois ou plus",131588,330429,0.3982344316
2004,"GE 38, 2004","ÉG 38, 2004",24,"Quebec","Québec","All genders","Tous les genres",3,"18 to 24 years","18 à 24 ans",281239,639874,0.4395230113
2004,"GE 38, 2004","ÉG 38, 2004",24,"Quebec","Québec","All genders","Tous les genres",4,"25 to 34 years","25 à 34 ans",433414,932985,0.4645456463
2004,"GE 38, 2004","ÉG 38, 2004",24,"Quebec","Québec","All genders","Tous les genres",5,"35 to 44 years","35 à 44 ans",631731,1164548,0.5424691747
2004,"GE 38, 2004","ÉG 38, 2004",24,"Quebec","Québec","All genders","Tous les genres",6,"45 to 54 years","45 à 54 ans",758966,1163452,0.6523396974
2004,"GE 38, 2004","ÉG 38, 2004",24,"Quebec","Québec","All genders","Tous les genres",7,"55 to 64 years","55 à 64 ans",634811,860734,0.7375227628
2004,"GE 38, 2004","ÉG 38, 2004",24,"Quebec","Québec","All genders","Tous les genres",8,"65 to 74 years","65 à 74 ans",432227,543742,0.7949121915
2004,"GE 38, 2004","ÉG 38, 2004",24,"Quebec","Québec","All genders","Tous les genres",9,"75 years and over","75 ans et plus",322065,456366,0.705716798
2004,"GE 38, 2004","ÉG 38, 2004",24,"Quebec","Québec","All genders","Tous les genres",10,"All ages","Tous les âges",3494454,5761701,0.6064969355
2004,"GE 38, 2004","ÉG 38, 2004",35,"Ontario","Ontario","All genders","Tous les genres",1,"First time","1re fois",226332,538480,0.4203169628
2004,"GE 38, 2004","ÉG 38, 2004",35,"Ontario","Ontario","All genders","Tous les genres",2,"Not first time","2e fois ou plus",179855,506359,0.3551918729
2004,"GE 38, 2004","ÉG 38, 2004",35,"Ontario","Ontario","All genders","Tous les genres",3,"18 to 24 years","18 à 24 ans",406187,1044839,0.388755473
2004,"GE 38, 2004","ÉG 38, 2004",35,"Ontario","Ontario","All genders","Tous les genres",4,"25 to 34 years","25 à 34 ans",669004,1495104,0.4474630569
2004,"GE 38, 2004","ÉG 38, 2004",35,"Ontario","Ontario","All genders","Tous les genres",5,"35 to 44 years","35 à 44 ans",1064172,1850950,0.5749330027
2004,"GE 38, 2004","ÉG 38, 2004",35,"Ontario","Ontario","All genders","Tous les genres",6,"45 to 54 years","45 à 54 ans",1129032,1638060,0.689249356
2004,"GE 38, 2004","ÉG 38, 2004",35,"Ontario","Ontario","All genders","Tous les genres",7,"55 to 64 years","55 à 64 ans",865229,1185005,0.7301481396
2004,"GE 38, 2004","ÉG 38, 2004",35,"Ontario","Ontario","All genders","Tous les genres",8,"65 to 74 years","65 à 74 ans",577895,790982,0.7306049659
2004,"GE 38, 2004","ÉG 38, 2004",35,"Ontario","Ontario","All genders","Tous les genres",9,"75 years and over","75 ans et plus",397926,707489,0.5624478955
2004,"GE 38, 2004","ÉG 38, 2004",35,"Ontario","Ontario","All genders","Tous les genres",10,"All ages","Tous les âges",5109445,8712429,0.5864547074
2004,"GE 38, 2004","ÉG 38, 2004",46,"Manitoba","Manitoba","All genders","Tous les genres",1,"First time","1re fois",17065,58332,0.2925563601
2004,"GE 38, 2004","ÉG 38, 2004",46,"Manitoba","Manitoba","All genders","Tous les genres",2,"Not first time","2e fois ou plus",15794,52805,0.2991075434
2004,"GE 38, 2004","ÉG 38, 2004",46,"Manitoba","Manitoba","All genders","Tous les genres",3,"18 to 24 years","18 à 24 ans",32860,111137,0.295669052
2004,"GE 38, 2004","ÉG 38, 2004",46,"Manitoba","Manitoba","All genders","Tous les genres",4,"25 to 34 years","25 à 34 ans",56587,144649,0.3912020038
2004,"GE 38, 2004","ÉG 38, 2004",46,"Manitoba","Manitoba","All genders","Tous les genres",5,"35 to 44 years","35 à 44 ans",88156,166180,0.5304854766
2004,"GE 38, 2004","ÉG 38, 2004",46,"Manitoba","Manitoba","All genders","Tous les genres",6,"45 to 54 years","45 à 54 ans",102005,159730,0.6386106848
2004,"GE 38, 2004","ÉG 38, 2004",46,"Manitoba","Manitoba","All genders","Tous les genres",7,"55 to 64 years","55 à 64 ans",83278,112939,0.7373742701
2004,"GE 38, 2004","ÉG 38, 2004",46,"Manitoba","Manitoba","All genders","Tous les genres",8,"65 to 74 years","65 à 74 ans",56054,76103,0.7365606897
2004,"GE 38, 2004","ÉG 38, 2004",46,"Manitoba","Manitoba","All genders","Tous les genres",9,"75 years and over","75 ans et plus",55825,79703,0.7004140104
2004,"GE 38, 2004","ÉG 38, 2004",46,"Manitoba","Manitoba","All genders","Tous les genres",10,"All ages","Tous les âges",474766,850441,0.5582585976
2004,"GE 38, 2004","ÉG 38, 2004",47,"Saskatchewan","Saskatchewan","All genders","Tous les genres",1,"First time","1re fois",16325,55162,0.2959520762
2004,"GE 38, 2004","ÉG 38, 2004",47,"Saskatchewan","Saskatchewan","All genders","Tous les genres",2,"Not first time","2e fois ou plus",12824,47182,0.2718068505
2004,"GE 38, 2004","ÉG 38, 2004",47,"Saskatchewan","Saskatchewan","All genders","Tous les genres",3,"18 to 24 years","18 à 24 ans",29150,102344,0.2848207931
2004,"GE 38, 2004","ÉG 38, 2004",47,"Saskatchewan","Saskatchewan","All genders","Tous les genres",4,"25 to 34 years","25 à 34 ans",42871,119760,0.3579734026
2004,"GE 38, 2004","ÉG 38, 2004",47,"Saskatchewan","Saskatchewan","All genders","Tous les genres",5,"35 to 44 years","35 à 44 ans",68525,135644,0.5051814366
2004,"GE 38, 2004","ÉG 38, 2004",47,"Saskatchewan","Saskatchewan","All genders","Tous les genres",6,"45 to 54 years","45 à 54 ans",88298,138626,0.6369513136
2004,"GE 38, 2004","ÉG 38, 2004",47,"Saskatchewan","Saskatchewan","All genders","Tous les genres",7,"55 to 64 years","55 à 64 ans",72024,92931,0.7750218125
2004,"GE 38, 2004","ÉG 38, 2004",47,"Saskatchewan","Saskatchewan","All genders","Tous les genres",8,"65 to 74 years","65 à 74 ans",57562,69330,0.8302588977
2004,"GE 38, 2004","ÉG 38, 2004",47,"Saskatchewan","Saskatchewan","All genders","Tous les genres",9,"75 years and over","75 ans et plus",68050,76958,0.8842506437
2004,"GE 38, 2004","ÉG 38, 2004",47,"Saskatchewan","Saskatchewan","All genders","Tous les genres",10,"All ages","Tous les âges",426479,735593,0.5797757727
2004,"GE 38, 2004","ÉG 38, 2004",48,"Alberta","Alberta","All genders","Tous les genres",1,"First time","1re fois",58546,163817,0.3573858669
2004,"GE 38, 2004","ÉG 38, 2004",48,"Alberta","Alberta","All genders","Tous les genres",2,"Not first time","2e fois ou plus",46445,159865,0.2905282212
2004,"GE 38, 2004","ÉG 38, 2004",48,"Alberta","Alberta","All genders","Tous les genres",3,"18 to 24 years","18 à 24 ans",104991,323682,0.3243651937
